professors_id,first_name,last_name,birth_date,gender,phone_number,salary
1,Francene,Harroll,1969-07-15,Female,271-880-5818,$1608.87
2,Guenna,Cobson,1962-11-06,Female,906-842-5577,$1093.50
3,Laural,Rosenkrantz,1973-05-03,Female,547-625-7111,$2530.41
4,Alistair,Hounihan,1991-01-17,Male,759-857-4067,$1152.31
5,Standford,Redfern,1997-12-24,Male,153-523-4386,$1326.01
6,Kathlin,Clurow,1960-01-05,Genderqueer,895-561-5278,$3075.28
7,Hube,Swift,1962-04-24,Non-binary,541-210-0727,$2805.96
8,Rosaline,Simon,1985-03-20,Female,305-195-2837,$3368.47
9,Ike,Gitsham,1991-12-25,Male,179-170-5714,$2622.80
10,Corene,Loxston,1963-07-16,Female,512-956-3996,$1087.62
11,Grier,Cookney,1969-01-09,Non-binary,336-170-8035,$3217.59
12,Rozamond,Colcomb,1979-07-24,Female,535-847-7146,$1704.55
13,Opal,Sudron,1983-10-31,Genderqueer,268-606-6520,$2564.85
14,Nancey,Zahor,1979-07-03,Female,719-291-0079,$1818.85
15,Kristin,Gosdin,1961-08-24,Female,624-739-5451,$1603.71
16,Karylin,Gammell,1966-04-05,Female,603-414-3721,$1000.79
17,Aidan,Looby,1983-09-14,Female,437-152-9865,$3201.10
18,Normand,Lismore,1977-02-11,Male,594-917-7826,$2788.73
19,Petunia,Crebott,1991-04-12,Female,383-358-4172,$2272.59
20,Gearard,Ingreda,1993-03-15,Male,998-976-5601,$3712.05
21,Kaylil,Blagdon,1974-11-26,Female,633-173-1486,$1870.66
22,Loren,Whapples,1995-02-07,Female,648-374-6807,$2964.98
23,Basil,Borg,1983-04-04,Male,686-477-4688,$3853.86
24,Suzette,Hollingsby,1980-12-05,Genderqueer,222-747-2144,$1736.94
25,Tandy,Mylan,1980-07-17,Female,474-817-0779,$3188.84
26,Bradney,Moine,1962-11-30,Male,572-920-2765,$2317.80
27,Rudolfo,Bearblock,1994-01-11,Male,151-574-6382,$1724.36
28,Carling,Abbado,1984-08-11,Male,502-787-5000,$3751.15
29,Karney,Filby,1962-01-14,Male,948-111-8422,$2396.88
30,Porty,Buttriss,1962-12-10,Male,567-760-9557,$2851.63
31,Homere,Mitchelson,1993-09-04,Male,800-978-7490,$1355.93
32,Idelle,Menilove,1984-02-25,Female,571-626-4656,$1541.63
33,Antony,Doddridge,1963-06-14,Male,131-455-7507,$1181.31
34,Ida,Draycott,1969-05-15,Female,798-997-0928,$1605.09
35,Sacha,Baraclough,1971-10-16,Female,313-697-6567,$3091.38
36,Terza,Weale,1975-01-22,Female,796-555-0100,$3381.20
37,Lyle,Mapples,1965-12-24,Male,774-733-6484,$2759.52
38,Sela,Harriagn,1963-12-31,Female,780-136-9786,$1129.81
39,Kora,Wreath,1973-01-25,Female,776-776-8754,$3957.85
40,Dorothy,McAless,1976-09-21,Female,482-291-7019,$2108.96
41,Fawn,Anselmi,1961-04-20,Bigender,613-937-1189,$2814.97
42,Denni,Bate,1966-10-01,Female,331-838-7218,$3160.70
43,Philippe,Matzaitis,1991-02-08,Female,690-489-1321,$2237.84
44,Derek,Rivard,1972-04-08,Male,513-765-5451,$3738.29
45,Jere,Kleinbaum,1997-07-09,Male,751-381-7477,$3809.31
46,Benedict,Trigg,1980-02-02,Male,715-474-7138,$1714.74
47,Dougie,Starkie,1965-09-03,Male,619-162-8372,$1055.11
48,Pia,Precious,1987-12-15,Female,193-955-0699,$3844.02
49,Lemmie,Bellee,1965-12-13,Male,360-362-4291,$3656.57
50,Tomlin,Crevagh,1986-01-07,Genderfluid,807-418-2775,$3288.30
51,Goldi,Huyge,1979-05-13,Female,911-637-2743,$3361.53
52,Johnnie,Alders,1986-11-21,Male,507-845-3639,$1083.67
53,Fabian,Rousel,1997-11-20,Male,927-335-7787,$1089.90
54,Bathsheba,Graalman,1983-01-16,Female,345-531-5682,$3605.57
55,Pansie,Manlow,1961-10-31,Female,443-699-1772,$3352.81
56,Carrol,Branchett,1994-04-29,Male,472-102-1605,$1958.51
57,Augustine,Damerell,1983-09-22,Genderfluid,614-257-9918,$2576.61
58,Tillie,Ruffell,1975-06-12,Polygender,243-550-3501,$2930.24
59,Ada,Yellep,1972-10-25,Female,716-110-2467,$1389.22
60,Meggi,Lyttle,1964-01-09,Female,650-940-1239,$2265.51
